ArticleNumber,AvailableQty,expectedDeliveryDateFormatted,inventoryCount,inventoryCountFormatted,quantityFormatted
82045159,0.00,,91,91,1
82045594,193.00,16-07-2019,0,0,1
82045598,250.00,16-07-2019,0,0,1
82045404,0.00,,98,98,1
82045232,50.00,30-12-2019,29,29,1
82045554,0.00,,66,66,1
82045470,0.00,,41,41,1
82045724,77.00,26-08-2019,-1,-1,1
82045381,86.00,30-07-2019,0,0,1
82045606,0.00,,233,233,1
82045726,62.00,02-12-2019,119,119,1
82045727,51.00,02-12-2019,27,27,1
82045586,104.00,02-12-2019,17,17,1
82045163,0.00,,72,72,1
82045600,286.00,16-07-2019,0,0,1
82045909,0.00,,67,67,1
82046051,4.00,13-03-2020,62,62,1
82046017,100.00,11-11-2019,26,26,1
82046052,4.00,13-03-2020,47,47,1
82046056,196.00,16-08-2019,134,134,1
82046058,52.00,30-11-2019,19,19,1
82046393,1.00,13-03-2020,42,42,1
82046411,74.00,26-08-2019,0,0,1
82046412,81.00,26-08-2019,0,0,1
82046425,0.00,,191,191,1
82046434,0.00,,87,87,1
82046436,144.00,26-08-2019,0,0,1
82042407,0.00,,83,83,1
82046435,41.00,29-07-2019,0,0,1
82046440,24.00,05-08-2019,0,0,1
82042019,50.00,28-10-2019,67,67,1
82042021,1.00,13-03-2020,62,62,1
82042469,6.00,13-03-2020,81,81,1
82043318,0.00,,33,33,1
82042867,0.00,,48,48,1
82043344,2.00,13-03-2020,47,47,1
82043367,0.00,,40,40,1
82043372,0.00,,35,35,1
82043487,0.00,,63,63,1
32703176,0.00,,221,221,1
90902722,0.00,,0,0,1
89110309,0.00,,112,112,1
22200012,0.00,,73,73,1
32407535,0.00,,251,251,1
32706859,0.00,,12,12,1
32708243,0.00,,93,93,1
32708251,0.00,,28,28,1
32708266,50.00,28-10-2019,215,215,1
40608707,0.00,,326,326,1
904040,0.00,,121,121,1
905050,0.00,,109,109,1
906060,0.00,,170,170,1
82041303,8.00,13-03-2020,91,91,1
82041667,0.00,,12,12,1
82041761,50.00,31-08-2019,2,2,1
82043319,0.00,,69,69,1
82044544,12.00,01-11-2019,14,14,1
82044545,0.00,,12,12,1
82044546,23.00,01-11-2019,0,0,1
82044547,0.00,,14,14,1
82044548,24.00,01-11-2019,10,10,1
82044549,10.00,01-11-2019,10,10,1
82044550,11.00,01-11-2019,17,17,1
82044563,7.00,13-03-2020,77,77,1
82045180,0.00,,31,31,1
82045182,47.00,27-09-2019,4,4,1
82045231,8.00,13-03-2020,139,139,1
82045254,0.00,,48,48,1
82045255,0.00,,58,58,1
82045258,54.00,18-11-2019,54,54,1
82045265,41.00,19-08-2019,0,0,1
82045266,38.00,19-08-2019,0,0,1
82045269,70.00,26-08-2019,0,0,1
82045270,87.00,01-08-2019,0,0,1
82045286,88.00,09-09-2019,0,0,1
82045375,64.00,05-08-2019,0,0,1
82045409,192.00,05-08-2019,0,0,1
82045476,2.00,13-03-2020,63,63,1
82045806,85.00,16-09-2019,0,0,1
82045829,89.00,16-09-2019,0,0,1
82045842,67.00,16-09-2019,0,0,1
82045899,47.00,29-07-2019,0,0,1
82045910,0.00,,108,108,1
82045940,61.00,15-08-2019,0,0,1
82045942,45.00,14-08-2019,0,0,1
82045947,228.00,06-08-2019,0,0,1
82045981,5.00,13-03-2020,118,118,1
82045986,96.00,29-07-2019,0,0,1
82046031,1.00,13-03-2020,26,26,1
82046044,0.00,,59,59,1
82046045,92.00,15-11-2019,11,11,1
82046047,8.00,13-03-2020,55,55,1
82046072,1.00,13-03-2020,40,40,1
82046095,1.00,13-03-2020,79,79,1
82046325,144.00,16-08-2019,0,0,1
82046391,233.00,15-08-2019,0,0,1
82046392,65.00,07-08-2019,0,0,1
82046401,198.00,15-08-2019,0,0,1
82046414,86.00,07-08-2019,0,0,1
82046841,0.00,,25,25,1
82047003,248.00,22-08-2019,0,0,1
82047374,189.00,15-08-2019,0,0,1
82040252,0.00,,28,28,1
82040253,0.00,,163,163,1
82040254,4.00,13-03-2020,39,39,1
82040867,0.00,,9,9,1
82041658,10.00,23-08-2019,1,1,1
82041685,99.00,30-09-2019,52,52,1
82042678,4.00,13-03-2020,48,48,1
82042681,2.00,13-03-2020,32,32,1
82042691,0.00,,24,24,1
82042946,0.00,,58,58,1
82042948,4.00,13-03-2020,26,26,1
82042949,6.00,13-03-2020,350,350,1
82042950,8.00,13-03-2020,21,21,1
82043316,132.00,14-10-2019,0,0,1
82043320,0.00,,47,47,1
82043336,0.00,,98,98,1
82043347,1.00,13-03-2020,130,130,1
82043362,1.00,13-03-2020,103,103,1
82043458,4.00,13-03-2020,33,33,1
82043483,60.00,14-10-2019,32,32,1
82043488,0.00,,71,71,1
82043492,0.00,,87,87,1
82044503,0.00,,2,2,1
12405798,8.00,13-03-2020,127,127,1
12406078,0.00,,263,263,1
19206775,0.00,,64,64,1
48503496,0.00,,163,163,1
48503516,0.00,,276,276,1
50142934,0.00,,41,41,1
50142937,0.00,,3,3,1
50213425,0.00,,40,40,1
50213426,0.00,,53,53,1
50216798,0.00,,167,167,1
50216843,0.00,,150,150,1
50238975,0.00,,15,15,1
62226084,0.00,,90,90,1
82040696,0.00,,9,9,1
82040697,0.00,,27,27,1
82040712,0.00,,10,10,1
82041278,0.00,,170,170,1
87303576,0.00,,57,57,1
89164066,0.00,,227,227,1
89164067,0.00,,182,182,1
89166081,0.00,,27,27,1
89176773,2.00,13-03-2020,28,28,1
89176774,0.00,,82,82,1
90256641,230.00,15-11-2019,75,75,1
27404475,1197.00,26-08-2019,1308,1.308,1
48500953,0.00,,235,235,1
48500954,3.00,13-03-2020,55,55,1
48500955,0.00,,540,540,1
48500956,0.00,,244,244,1
48500957,3.00,13-03-2020,62,62,1
48500958,8.00,13-03-2020,150,150,1
50144530,0.00,,56,56,1
50182830,1.00,13-03-2020,19,19,1
50232832,0.00,,28,28,1
50238136,0.00,,0,0,1
48503580,0.00,,0,0,1
12201568,4.00,13-03-2020,36,36,1
23000003,0.00,,0,0,1
23001395,6.00,13-03-2020,47,47,1
23002951,120.00,15-08-2019,390,390,1
23002952,0.00,,302,302,1
23002953,0.00,,101,101,1
23004774,26.00,15-08-2019,0,0,1
23004775,0.00,,103,103,1
23004932,48.00,30-11-2019,64,64,1
27140064,100.00,31-12-2019,210,210,1
48400016,0.00,,213,213,1
48400018,2.00,13-03-2020,123,123,1
48400019,0.00,,46,46,1
48400377,50.00,28-10-2019,77,77,1
48408583,50.00,31-12-2019,161,161,1
50113248,0.00,,6,6,1
50115579,0.00,,57,57,1
50141606,0.00,,8,8,1
50141607,0.00,,11,11,1
50141608,0.00,,9,9,1
50144533,0.00,,4,4,1
50145526,10.00,23-08-2019,6,6,1
50145527,9.00,23-08-2019,5,5,1
50145532,0.00,,7,7,1
50146008,10.00,23-08-2019,3,3,1
50157701,0.00,,16,16,1
50171421,0.00,,7,7,1
50174596,0.00,,2,2,1
50185632,2.00,13-03-2020,41,41,1
50187738,0.00,,3,3,1
50196452,0.00,,104,104,1
50218589,0.00,,415,415,1
50218604,0.00,,12,12,1
507010,0.00,,124,124,1
50701189,0.00,,34,34,1
50704899,0.00,,0,0,1
508056,0.00,,223,223,1
59097060,0.00,,0,0,1
59097063,0.00,,54,54,1
59098601,185.00,15-09-2019,79,79,1
59098602,0.00,,21,21,1
87304609,0.00,,7,7,1
89200000,2.00,13-03-2020,218,218,1
89200007,1.00,13-03-2020,147,147,1
89208006,0.00,,15,15,1
899006,0.00,,264,264,1
89908880,0.00,,19,19,1
89908881,0.00,,16,16,1
89908882,0.00,,14,14,1
89908886,0.00,,41,41,1
82041700-BC,3.00,13-03-2020,0,0,1
82044569,0.00,,51,51,1
82045176,0.00,,69,69,1
82045183,99.00,27-09-2019,0,0,1
82045194,120.00,29-07-2019,0,0,1
82045479,51.00,11-11-2019,58,58,1
82045540,6.00,13-03-2020,61,61,1
82045556,1.00,13-03-2020,174,174,1
82045896,18.00,29-07-2019,0,0,1
82045904,194.00,30-07-2019,0,0,1
82046235,392.00,12-08-2019,296,296,1
82040286,0.00,,76,76,1
82040930,200.00,01-12-2019,190,190,1
82040933,0.00,,106,106,1
82041593,0.00,,333,333,1
82042554,0.00,,66,66,1
82042667,0.00,,251,251,1
82042668,0.00,,253,253,1
82043332,106.00,27-09-2019,0,0,1
82043346,346.00,08-08-2019,0,0,1
82043365,50.00,14-08-2019,58,58,1
82046236,6.00,13-03-2020,206,206,1
50224035,14.00,13-03-2020,476,476,1
50224039,0.00,,164,164,1
50224052,0.00,,148,148,1
50224053,0.00,,144,144,1
50224054,0.00,,208,208,1
50210820,0.00,,43,43,1
50210895,0.00,,60,60,1
50223384,0.00,,203,203,1
12402836,0.00,,0,0,1
50201169,0.00,,71,71,1
50205300,0.00,,91,91,1
50205304,2.00,13-03-2020,358,358,1
50205305,0.00,,221,221,1
50205307,0.00,,49,49,1
50205308,1.00,13-03-2020,86,86,1
50206336,0.00,,19,19,1
50206337,0.00,,0,0,1
50500084,0.00,,252,252,1
54300000,0.00,,1,1,1
56605629,0.00,,764,764,1
82044790,16.00,15-09-2019,3,3,1
82044853,4.00,22-07-2019,1,1,1
82044899,0.00,,2,2,1
82044945,111.00,15-09-2019,0,0,1
82044950,23.00,16-08-2019,1,1,1
82045046,0.00,,5,5,1
82045061,0.00,,2,2,1
82045066,0.00,,3,3,1
82045087,0.00,,0,0,1
82042732,0.00,,45,45,1
82042733,0.00,,45,45,1
82042734,0.00,,46,46,1
82042735,0.00,,12,12,1
82042737,0.00,,15,15,1
82045799,295.00,16-09-2019,0,0,1
82045917,143.00,22-07-2019,0,0,1
82045918,94.00,22-07-2019,0,0,1
82046049,200.00,16-08-2019,189,189,1
82046287,96.00,16-08-2019,77,77,1
82046428,82.00,30-07-2019,0,0,1
82040931,3.00,21-10-2019,0,0,1
82040932,100.00,01-12-2019,7,7,1
82040934,50.00,21-10-2019,19,19,1
82040935,49.00,21-10-2019,10,10,1
82040936,39.00,21-10-2019,1,1,1
82040937,95.00,21-10-2019,32,32,1
82043322,0.00,,3,3,1
82043335,0.00,,8,8,1
82043338,0.00,,47,47,1
50255211,25.00,23-07-2019,1,1,1
50255217,2.00,17-07-2019,0,0,1
50255229,50.00,01-02-2020,29,29,1
50255230,21.00,17-07-2019,0,0,1
82043399,7.00,13-03-2020,157,157,1
90246829,0.00,,222,222,1
82040723,0.00,,25,25,1
82041534,0.00,,53,53,1
82041536,0.00,,64,64,1
82044135,0.00,,161,161,1
82044687,88.00,05-08-2019,0,0,1
82044692,86.00,05-08-2019,0,0,1
82044694,5.00,13-03-2020,66,66,1
82044702,0.00,,96,96,1
82045285,59.00,09-09-2019,0,0,1
82045392,30.00,23-09-2019,0,0,1
82045443,1.00,13-03-2020,111,111,1
82046064,2.00,13-03-2020,43,43,1
82046073,62.00,15-08-2019,0,0,1
82043489,0.00,,91,91,1
82043490,0.00,,91,91,1
82044130,0.00,,76,76,1
82044131,0.00,,131,131,1
82044132,0.00,,73,73,1
46009991,0.00,,87,87,1
82040779,0.00,,82,82,1
82040780,0.00,,146,146,1
82040782,0.00,,142,142,1
46000002,0.00,,26,26,1
46000003,0.00,,162,162,1
90203017,0.00,,151,151,1
906000,309.00,19-09-2019,1059,1.059,1
906001,523.00,19-09-2019,1,1,1
82040930,200.00,01-12-2019,190,190,1
82041685,99.00,30-09-2019,52,52,1
82040697,0.00,,27,27,1
89164066,0.00,,227,227,1
89164067,0.00,,182,182,1
27404475,1197.00,26-08-2019,1308,1.308,1
50223384,0.00,,203,203,1
50232832,0.00,,28,28,1
50255211,25.00,23-07-2019,1,1,1
50255217,2.00,17-07-2019,0,0,1
50255229,50.00,01-02-2020,29,29,1
50255230,21.00,17-07-2019,0,0,1
89110309,0.00,,112,112,1
23002951,120.00,15-08-2019,390,390,1
23002952,0.00,,302,302,1
23002953,0.00,,101,101,1
23004774,26.00,15-08-2019,0,0,1
23004932,48.00,30-11-2019,64,64,1
27140064,100.00,31-12-2019,210,210,1
32708243,0.00,,93,93,1
32708266,50.00,28-10-2019,215,215,1
48400377,50.00,28-10-2019,77,77,1
48408583,50.00,31-12-2019,161,161,1
50144533,0.00,,4,4,1
50145526,10.00,23-08-2019,6,6,1
50145527,9.00,23-08-2019,5,5,1
50146008,10.00,23-08-2019,3,3,1
50205304,2.00,13-03-2020,358,358,1
50205305,0.00,,221,221,1
50205307,0.00,,49,49,1
50205308,1.00,13-03-2020,86,86,1
50704899,0.00,,0,0,1
56605629,0.00,,764,764,1
59098601,185.00,15-09-2019,79,79,1
906000,309.00,19-09-2019,1059,1.059,1
906001,523.00,19-09-2019,1,1,1
82043357,18.00,13-03-2020,139,139,1
82044536,4.00,13-03-2020,147,147,1
82044537,4.00,13-03-2020,91,91,1
82045164,0.00,,118,118,1
82045169,0.00,,365,365,1
82045170,102.00,01-11-2019,156,156,1
82045308,171.00,29-07-2019,0,0,1
82045318,128.00,01-08-2019,0,0,1
82045367,60.00,05-08-2019,0,0,1
82045370,80.00,05-08-2019,0,0,1
82045388,68.00,29-07-2019,0,0,1
82045469,0.00,,96,96,1
82045471,223.00,11-11-2019,0,0,1
82045473,0.00,,134,134,1
82045474,0.00,,86,86,1
82045475,0.00,,57,57,1
82045520,172.00,30-07-2019,0,0,1
82045536,245.00,26-08-2019,0,0,1
82045538,0.00,,409,409,1
82045557,28.00,13-03-2020,138,138,1
82045585,2.00,13-03-2020,482,482,1
82045591,423.00,16-07-2019,0,0,1
82045603,286.00,16-07-2019,0,0,1
82045667,679.00,23-07-2019,0,0,1
82045672,466.00,13-08-2019,0,0,1
82045720,342.00,26-08-2019,0,0,1
82045797,264.00,16-09-2019,0,0,1
82045801,241.00,16-09-2019,0,0,1
82045897,116.00,29-07-2019,0,0,1
82045905,157.00,30-07-2019,0,0,1
82045928,248.00,12-08-2019,0,0,1
82045948,159.00,06-08-2019,0,0,1
82045973,0.00,,284,284,1
82045977,324.00,16-12-2019,86,86,1
82046004,260.00,06-08-2019,0,0,1
82046033,54.00,18-11-2019,73,73,1
82046034,104.00,18-11-2019,97,97,1
82046093,605.00,16-12-2019,114,114,1
82046335,370.00,14-08-2019,0,0,1
82046345,400.00,05-08-2019,377,377,1
82046346,398.00,05-08-2019,366,366,1
82046357,0.00,,0,0,1
82046359,0.00,,0,0,1
82040397,0.00,,45,45,1
82041991,0.00,,30,30,1
82042187,0.00,,36,36,1
82042387,0.00,,101,101,1
82042390,0.00,,101,101,1
82042406,0.00,,20,20,1
82042411,0.00,,64,64,1
82042478,78.00,22-07-2019,145,145,1
82042479,77.00,22-07-2019,130,130,1
82042810,0.00,,202,202,1
82042842,200.00,01-12-2019,37,37,1
82043327,0.00,,45,45,1
82043370,0.00,,36,36,1
82043409,0.00,,23,23,1
82043504,0.00,,67,67,1
82043520,0.00,,116,116,1
82043521,0.00,,143,143,1
82044501,98.00,22-07-2019,17,17,1
82044502,209.00,22-07-2019,0,0,1
21253144,0.00,,350,350,1
